,location,date,new_cases
491,World,2021-05-27,546893.0
492,World,2021-05-28,505511.0
493,World,2021-05-29,480424.0
494,World,2021-05-30,389945.0
495,World,2021-05-31,387054.0
496,World,2021-06-01,460000.0
497,World,2021-06-02,487623.0
498,World,2021-06-03,480509.0
499,World,2021-06-04,424897.0
500,World,2021-06-05,396652.0
501,World,2021-06-06,322980.0
502,World,2021-06-07,321763.0
503,World,2021-06-08,370113.0
504,World,2021-06-09,418288.0
505,World,2021-06-10,453505.0
506,World,2021-06-11,422038.0
507,World,2021-06-12,368374.0
508,World,2021-06-13,302796.0
509,World,2021-06-14,309290.0
510,World,2021-06-15,374760.0
511,World,2021-06-16,389167.0
512,World,2021-06-17,395996.0
513,World,2021-06-18,403501.0
514,World,2021-06-19,347295.0
515,World,2021-06-20,304758.0
516,World,2021-06-21,296648.0
517,World,2021-06-22,410212.0
518,World,2021-06-23,396616.0
519,World,2021-06-24,409239.0
520,World,2021-06-25,417653.0
521,World,2021-06-26,362883.0
522,World,2021-06-27,311207.0
523,World,2021-06-28,332992.0
524,World,2021-06-29,381192.0
525,World,2021-06-30,399457.0
526,World,2021-07-01,435489.0
527,World,2021-07-02,442277.0
528,World,2021-07-03,373759.0
529,World,2021-07-04,327655.0
530,World,2021-07-05,377867.0
531,World,2021-07-06,450439.0
532,World,2021-07-07,465165.0
533,World,2021-07-08,481784.0
534,World,2021-07-09,513091.0
535,World,2021-07-10,420934.0
536,World,2021-07-11,369727.0
537,World,2021-07-12,434018.0
538,World,2021-07-13,525509.0
539,World,2021-07-14,537747.0
540,World,2021-07-15,576218.0
541,World,2021-07-16,595643.0
542,World,2021-07-17,488655.0
543,World,2021-07-18,419764.0
544,World,2021-07-19,489208.0
545,World,2021-07-20,532157.0
546,World,2021-07-21,555787.0
547,World,2021-07-22,564932.0
548,World,2021-07-23,727907.0
549,World,2021-07-24,491120.0
550,World,2021-07-25,445437.0
551,World,2021-07-26,540438.0
552,World,2021-07-27,606205.0
553,World,2021-07-28,649882.0
554,World,2021-07-29,642813.0
555,World,2021-07-30,732244.0
556,World,2021-07-31,517216.0
557,World,2021-08-01,482956.0
558,World,2021-08-02,570982.0
559,World,2021-08-03,634179.0
560,World,2021-08-04,680390.0
561,World,2021-08-05,685511.0
562,World,2021-08-06,819408.0
563,World,2021-08-07,561220.0
564,World,2021-08-08,467638.0
565,World,2021-08-09,618979.0
566,World,2021-08-10,645670.0
567,World,2021-08-11,730640.0
568,World,2021-08-12,705744.0
569,World,2021-08-13,801784.0
570,World,2021-08-14,552895.0
571,World,2021-08-15,466601.0
572,World,2021-08-16,664231.0
573,World,2021-08-17,682608.0
574,World,2021-08-18,735613.0
575,World,2021-08-19,711577.0
576,World,2021-08-20,785307.0
577,World,2021-08-21,559000.0
578,World,2021-08-22,447987.0
579,World,2021-08-23,683974.0
580,World,2021-08-24,676685.0
581,World,2021-08-25,737395.0
582,World,2021-08-26,736469.0
583,World,2021-08-27,751094.0
584,World,2021-08-28,557158.0
585,World,2021-08-29,446739.0
