,continent,date,new_vaccinations
332,Africa,2021-01-04,0.0
333,Africa,2021-01-05,0.0
334,Africa,2021-01-06,0.0
335,Africa,2021-01-07,0.0
336,Africa,2021-01-08,0.0
337,Africa,2021-01-09,0.0
338,Africa,2021-01-10,0.0
339,Africa,2021-01-11,0.0
340,Africa,2021-01-12,0.0
341,Africa,2021-01-13,0.0
342,Africa,2021-01-14,0.0
343,Africa,2021-01-15,0.0
344,Africa,2021-01-16,3000.0
345,Africa,2021-01-17,0.0
346,Africa,2021-01-18,0.0
347,Africa,2021-01-19,0.0
348,Africa,2021-01-20,2187.0
349,Africa,2021-01-21,0.0
350,Africa,2021-01-22,0.0
351,Africa,2021-01-23,1463.0
352,Africa,2021-01-24,0.0
353,Africa,2021-01-25,0.0
354,Africa,2021-01-26,2823.0
355,Africa,2021-01-27,2875.0
356,Africa,2021-01-28,3192.0
357,Africa,2021-01-29,2082.0
358,Africa,2021-01-30,30.0
359,Africa,2021-01-31,36000.0
360,Africa,2021-02-01,74081.0
361,Africa,2021-02-02,58415.0
362,Africa,2021-02-03,51915.0
363,Africa,2021-02-04,43325.0
364,Africa,2021-02-05,56512.0
365,Africa,2021-02-06,55731.0
366,Africa,2021-02-07,0.0
367,Africa,2021-02-08,0.0
368,Africa,2021-02-09,67761.0
369,Africa,2021-02-10,134573.0
370,Africa,2021-02-11,112960.0
371,Africa,2021-02-12,256785.0
372,Africa,2021-02-13,276436.0
373,Africa,2021-02-14,0.0
374,Africa,2021-02-15,0.0
375,Africa,2021-02-16,198820.0
376,Africa,2021-02-17,178204.0
377,Africa,2021-02-18,154045.0
378,Africa,2021-02-19,135065.0
379,Africa,2021-02-20,102932.0
380,Africa,2021-02-21,4974.0
381,Africa,2021-02-22,7671.0
382,Africa,2021-02-23,100745.0
383,Africa,2021-02-24,297427.0
384,Africa,2021-02-25,278809.0
385,Africa,2021-02-26,242655.0
386,Africa,2021-02-27,184401.0
387,Africa,2021-02-28,7727.0
388,Africa,2021-03-01,13414.0
389,Africa,2021-03-02,160925.0
390,Africa,2021-03-03,170663.0
391,Africa,2021-03-04,145991.0
392,Africa,2021-03-05,162905.0
393,Africa,2021-03-06,202999.0
394,Africa,2021-03-07,41010.0
395,Africa,2021-03-08,15233.0
396,Africa,2021-03-09,140423.0
397,Africa,2021-03-10,235589.0
